"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "HTML", "XML", "CSS", "YAML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\contact-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 12, 24, 159
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\creative-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 24, 37, 273
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\hero-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 301, 0, 0, 0, 0, 33, 41, 375
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\news-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 261, 0, 0, 0, 0, 41, 42, 344
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\news-section\client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 9, 13, 76
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\news-section\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 17, 21, 148
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\news-section\server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 3, 33
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\projects-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 327, 0, 0, 0, 0, 90, 36, 453
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\projects-section\client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\projects-section\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\projects-section\server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 10, 10, 131
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 12, 24, 115
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\news\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\projects\data.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 2, 82
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\projects\featured-project.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\projects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\projects\project-category.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\projects\project-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 7, 14, 149
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\resource\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\what-we-do\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\what-we-do\sections\data.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 3, 49
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\what-we-do\sections\service-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\what-we-do\sections\what-we-do.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 7, 75
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\who-we-are\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\api\contact\route.ts", "TypeScript", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 49, 38, 270
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\api\feedback\route.ts", "TypeScript", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 48, 38, 251
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\db-init.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 1, 16
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\fonts.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
