"filename", "language", "JSON", "JavaScript", "TypeScript", "YAML", "Docker", "Groovy", "Ignore", "JSON with Comments", "Markdown", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\header\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\header\notification-dropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 1, 2, 40
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\header\user-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 3, 50
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\sidebar\desktop-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\sidebar\mobile-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\sidebar\nav-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\magicui\magic-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 12, 109
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\magicui\shine-border.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 17, 5, 62
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\main-page\hero-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 0, 0, 34, 282
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\main-page\self-introduce.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 20, 103
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\mobile-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 1, 8, 140
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 301, 0, 0, 11, 19, 331
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\providers\NextAuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 5, 35
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\3d-marquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 1, 4, 143
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\animated-testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 11, 173
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\aurora-background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 5, 62
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 6, 47
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
